topic_id,topic,rank,expert,linkedin_active,linkedin_reason,youtube_active,youtube_reason,practices_what_they_teach,practice_proof,proof_strength,proof_urls
1,Cold outreach pipeline for B2B SaaS,1,Jason Bay,Yes,Recent public LinkedIn posts collected and organized in research/linkedin-posts.,Yes,Recent public YouTube videos/transcripts collected and organized in research/youtube-transcripts.,Yes,"CEO of Outbound Squad, a company built around training B2B sales teams on outbound pipeline.",Strong,https://outboundsquad.com/
1,Cold outreach pipeline for B2B SaaS,2,Armand Farrokh,Yes,Recent public LinkedIn posts collected and organized in research/linkedin-posts.,Yes,Recent public YouTube videos/transcripts collected and organized in research/youtube-transcripts.,Yes,"Co-founder of 30MPC and former sales leader; teaches tactical cold call, cold email, and discovery systems.",Strong,https://www.30mpc.com/
1,Cold outreach pipeline for B2B SaaS,3,John Barrows,Yes,Recent public LinkedIn posts collected and organized in research/linkedin-posts.,Yes,Recent public YouTube videos/transcripts collected and organized in research/youtube-transcripts.,Yes,Founder of JB Sales; sells sales training for individuals and teams.,Strong,https://jbarrows.com/
1,Cold outreach pipeline for B2B SaaS,4,Sam McKenna,Yes,Recent public LinkedIn posts collected and organized in research/linkedin-posts.,Yes,Recent public YouTube videos/transcripts collected and organized in research/youtube-transcripts.,Yes,"Founder/CEO of #samsales; sells sales training, LinkedIn branding, social selling, sales cadences, and playbooks.",Strong,https://www.samsalesconsulting.com/
1,Cold outreach pipeline for B2B SaaS,5,Morgan J Ingram,Yes,Recent public LinkedIn posts collected and organized in research/linkedin-posts.,Yes,Recent public YouTube videos/transcripts collected and organized in research/youtube-transcripts.,Yes,Sales trainer focused on SDR/BDR prospecting and outbound execution; teaches from practical rep and training experience.,Strong,https://www.morganjingram.com/
1,Cold outreach pipeline for B2B SaaS,6,Josh Braun,Yes,Recent public LinkedIn posts collected and organized in research/linkedin-posts.,Yes,Recent public YouTube videos/transcripts collected and organized in research/youtube-transcripts.,Yes,"Runs Braun Training and a public sales education business around stop-persuading, cold-call anxiety, conversations, and buyer resistance. His site links to a podcast, newsletter, LinkedIn, and client proof.",Strong,https://joshbraun.com/
1,Cold outreach pipeline for B2B SaaS,7,Becc Holland,Yes,Recent public LinkedIn posts collected and organized in research/linkedin-posts.,Yes,Recent public YouTube videos/transcripts collected and organized in research/youtube-transcripts.,Yes,"CEO of Flip the Script, a sales training hub with training, SKOs, sequences and cadences, personalization at scale, cold email, cold calling, and sales development material.",Strong,https://www.flipthescript.com/
1,Cold outreach pipeline for B2B SaaS,8,Thibaut Souyris,Yes,Recent public LinkedIn posts collected and organized in research/linkedin-posts.,Yes,Recent public YouTube videos/transcripts collected and organized in research/youtube-transcripts.,Yes,"Founder/operator of SalesLabs; teaches prospecting, AI outreach, cold messaging, LinkedIn sequences, and meeting booking through courses, newsletter, articles, and consulting.",Strong,https://www.saleslabs.io/
1,Cold outreach pipeline for B2B SaaS,9,Richard Harris,Yes,Recent public LinkedIn posts collected and organized in research/linkedin-posts.,Yes,Recent public YouTube videos/transcripts collected and organized in research/youtube-transcripts.,Yes,"Founder/operator of The Harris Consulting Group; sells live training, founder-led sales training, online sales training, and AI sales coaching.",Strong,https://theharrisconsultinggroup.com/
1,Cold outreach pipeline for B2B SaaS,10,Marcus Chan,Yes,Recent public LinkedIn posts collected and organized in research/linkedin-posts.,Yes,Recent public YouTube videos/transcripts collected and organized in research/youtube-transcripts.,Yes,"CEO of Venli Consulting Group; serves SaaS, services, and complex B2B sales teams with tactical coaching tied to pipeline.",Strong,https://venliconsulting.com/
