rank,expert,slug,company,collection_status,posts_collected,reason,next_step
1,Tibo Maker,tibo-maker-outrank,Outrank / Revid AI / Feather,pending_authenticated_scrape,0,"No Apify token and no Kimi WebBridge authenticated browser session available.","Collect 10-15 recent LinkedIn posts after authenticated scrape access is available."
2,John Rush,john-rush-seobot,SEObot / ListingBott / Unicorn Platform,pending_authenticated_scrape,0,"No Apify token and no Kimi WebBridge authenticated browser session available.","Collect 10-15 recent LinkedIn posts after authenticated scrape access is available."
3,Samanyou Garg,samanyou-garg-writesonic,Writesonic,pending_authenticated_scrape,0,"No Apify token and no Kimi WebBridge authenticated browser session available.","Collect 10-15 recent LinkedIn posts after authenticated scrape access is available."
4,Jacky Chou,jacky-chou-indexsy,Indexsy / Trackings / LocalRank,pending_authenticated_scrape,0,"No Apify token and no Kimi WebBridge authenticated browser session available.","Collect 10-15 recent LinkedIn posts after authenticated scrape access is available."
5,Ross Hudgens,ross-hudgens-siege-media,Siege Media,pending_authenticated_scrape,0,"No Apify token and no Kimi WebBridge authenticated browser session available.","Collect 10-15 recent LinkedIn posts after authenticated scrape access is available."
6,Ross Simmonds,ross-simmonds-foundation,Foundation Marketing,pending_authenticated_scrape,0,"No Apify token and no Kimi WebBridge authenticated browser session available.","Collect 10-15 recent LinkedIn posts after authenticated scrape access is available."
7,Bernard Huang,bernard-huang-clearscope,Clearscope,pending_authenticated_scrape,0,"No Apify token and no Kimi WebBridge authenticated browser session available.","Collect 10-15 recent LinkedIn posts after authenticated scrape access is available."
8,Tim Soulo,tim-soulo-ahrefs,Ahrefs,pending_authenticated_scrape,0,"No Apify token and no Kimi WebBridge authenticated browser session available.","Collect 10-15 recent LinkedIn posts after authenticated scrape access is available."
9,Gael Breton,gael-breton-authority-hacker,Authority Hacker,pending_authenticated_scrape,0,"No Apify token and no Kimi WebBridge authenticated browser session available.","Collect 10-15 recent LinkedIn posts after authenticated scrape access is available."
10,Bhanu Teja P,bhanu-teja-sitegpt,SiteGPT / Feather,pending_authenticated_scrape,0,"No Apify token and no Kimi WebBridge authenticated browser session available.","Collect 10-15 recent LinkedIn posts after authenticated scrape access is available."

