expert,slug,company,channel_name,video_id,title,url,source_type,status,caption_source,transcript_chars,transcript_file,upload_date,duration,error
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,uza9GX0E2mw,AI SEO Course for Beginners: Complete AEO Tutorial,https://www.youtube.com/watch?v=uza9GX0E2mw,channel_recent,existing,existing_file,86133,research\youtube-transcripts\tim-soulo-ahrefs\uza9GX0E2mw - AI SEO Course for Beginners Complete AEO Tutorial.txt,,5216.0,
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,rGdR1KC6O2s,I Used AI Agents to Replace Our Marketing Agency,https://www.youtube.com/watch?v=rGdR1KC6O2s,channel_recent,existing,existing_file,11358,research\youtube-transcripts\tim-soulo-ahrefs\rGdR1KC6O2s - I Used AI Agents to Replace Our Marketing Agency.txt,,686.0,
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,Xq9qD7Xl5Ps,Why I Switched from ChatGPT to Claude,https://www.youtube.com/watch?v=Xq9qD7Xl5Ps,channel_recent,existing,existing_file,13132,research\youtube-transcripts\tim-soulo-ahrefs\Xq9qD7Xl5Ps - Why I Switched from ChatGPT to Claude.txt,,776.0,
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,W6ofmUbVr6M,This AI Tool Generates Viral Thumbnails (Prompts Included),https://www.youtube.com/watch?v=W6ofmUbVr6M,channel_recent,existing,existing_file,12711,research\youtube-transcripts\tim-soulo-ahrefs\W6ofmUbVr6M - This AI Tool Generates Viral Thumbnails (Prompts Included).txt,,668.0,
Tim Soulo,tim-soulo-ahrefs,Ahrefs,Ahrefs,Y_QrXGeNfQU,Your AEO Strategy + Action Plan Checklist | 4.2. AEO Course by Ahrefs,https://www.youtube.com/watch?v=Y_QrXGeNfQU,channel_recent,existing,existing_file,8041,research\youtube-transcripts\tim-soulo-ahrefs\Y_QrXGeNfQU - Your AEO Strategy + Action Plan Checklist 4.2. AEO Course by Ahrefs.txt,,474.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,JMbRFcQobHU,What a Real AI Business Looks Like (No Hype),https://www.youtube.com/watch?v=JMbRFcQobHU,channel_recent,existing,existing_file,56565,research\youtube-transcripts\gael-breton-authority-hacker\JMbRFcQobHU - What a Real AI Business Looks Like (No Hype).txt,,2873.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,NY5kJfMQ5bk,What Actually Changed In Claude Opus 4.8,https://www.youtube.com/watch?v=NY5kJfMQ5bk,channel_recent,existing,existing_file,48951,research\youtube-transcripts\gael-breton-authority-hacker\NY5kJfMQ5bk - What Actually Changed In Claude Opus 4.8.txt,,2470.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,OYJa8XPd210,5 Months Of Claude Code (As A Business Owner),https://www.youtube.com/watch?v=OYJa8XPd210,channel_recent,existing,existing_file,57244,research\youtube-transcripts\gael-breton-authority-hacker\OYJa8XPd210 - 5 Months Of Claude Code (As A Business Owner).txt,,3019.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,RvKOqDnaaI4,GPT-5.5 vs Claude: I Switched For 7 Days,https://www.youtube.com/watch?v=RvKOqDnaaI4,channel_recent,existing,existing_file,68997,research\youtube-transcripts\gael-breton-authority-hacker\RvKOqDnaaI4 - GPT-5.5 vs Claude I Switched For 7 Days.txt,,3649.0,
Gael Breton,gael-breton-authority-hacker,Authority Hacker,Authority Hacker Podcast,HFYMVRbVuYY,We Just Tested ChatGPT Image 2,https://www.youtube.com/watch?v=HFYMVRbVuYY,channel_recent,existing,existing_file,65649,research\youtube-transcripts\gael-breton-authority-hacker\HFYMVRbVuYY - We Just Tested ChatGPT Image 2.txt,,3368.0,
Samanyou Garg,samanyou-garg-writesonic,Writesonic,Writesonic,du26Ywa-CtA,"What Still Works? Content, Search, and Distribution in the AI Era I Ft. Ross Simmonds & Sam Garg",https://www.youtube.com/watch?v=du26Ywa-CtA,channel_recent,no_transcript,failed,0,,,3482.0,"youtube_transcript_api_failed: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=du26Ywa-CtA! This is most likely caused by:

YouTube is blocking requests from your IP. This usually ; yt_dlp_failed: HTTP Error 429: Too Many Requests"
