expert,video_count_for_expert,video_rank,channel_name,video_id,title,url,duration_seconds,transcript_status,transcript_chars,transcript_file
Jason Bay,7,1,Jason Bay,mvuBok0Izcw,"Motive CRO on moving up-market and leading an org of 3,000+",https://www.youtube.com/watch?v=mvuBok0Izcw,3126.0,ok,47428,"cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\jason-bay\mvuBok0Izcw - Motive CRO on moving up-market and leading an org of 3,000+.txt"
Jason Bay,7,2,Jason Bay,cS1Nh_62D4g,"World-class enablement, AE self-sourcing, and onboarding",https://www.youtube.com/watch?v=cS1Nh_62D4g,2841.0,ok,52118,"cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\jason-bay\cS1Nh_62D4g - World-class enablement, AE self-sourcing, and onboarding.txt"
Jason Bay,7,3,Jason Bay,jbNjUkUdeFY,From rep at ADP to CRO at Houzz with Tara Di-Cristo-Schmitt,https://www.youtube.com/watch?v=jbNjUkUdeFY,3819.0,ok,69214,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\jason-bay\jbNjUkUdeFY - From rep at ADP to CRO at Houzz with Tara Di-Cristo-Schmitt.txt
Jason Bay,7,4,Jason Bay,o7Tc5n8LrU8,Scaling unconventional outbound with Sr Dir of Sales Development at Rippling,https://www.youtube.com/watch?v=o7Tc5n8LrU8,3327.0,ok,64301,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\jason-bay\o7Tc5n8LrU8 - Scaling unconventional outbound with Sr Dir of Sales Development at Rippling.txt
Jason Bay,7,5,Jason Bay,dzeS1HGBxIE,“Our BDR booked 7 meetings yesterday” with Paul Salamanca,https://www.youtube.com/watch?v=dzeS1HGBxIE,3280.0,ok,57859,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\jason-bay\dzeS1HGBxIE - “Our BDR booked 7 meetings yesterday” with Paul Salamanca.txt
Jason Bay,7,6,Jason Bay,YdrknrnFWVU,Get reps to drop their guard,https://www.youtube.com/watch?v=YdrknrnFWVU,51.0,ok,959,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\jason-bay\YdrknrnFWVU - Get reps to drop their guard.txt
Jason Bay,7,7,Jason Bay,m-TPpWzqPJU,"Disagree and commit, then learn",https://www.youtube.com/watch?v=m-TPpWzqPJU,39.0,ok,782,"cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\jason-bay\m-TPpWzqPJU - Disagree and commit, then learn.txt"
Armand Farrokh,7,1,30 Minutes to President's Club,LbcfLsCYPuM,Negotiation Masterclass: 32 Minutes of Proven Negotiation Tactics (B2B Sales),https://www.youtube.com/watch?v=LbcfLsCYPuM,1959.0,ok,33403,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\armand-farrokh\LbcfLsCYPuM - Negotiation Masterclass 32 Minutes of Proven Negotiation Tactics (B2B Sales).txt
Armand Farrokh,7,2,30 Minutes to President's Club,AtO39nkL0Io,The Top 5 Sales Scripts To Handle ANY Pricing Objection,https://www.youtube.com/watch?v=AtO39nkL0Io,1859.0,ok,32105,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\armand-farrokh\AtO39nkL0Io - The Top 5 Sales Scripts To Handle ANY Pricing Objection.txt
Armand Farrokh,7,3,30 Minutes to President's Club,x5Gup2UTCSQ,Become Dangerously Good At Negotiation,https://www.youtube.com/watch?v=x5Gup2UTCSQ,2070.0,ok,37761,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\armand-farrokh\x5Gup2UTCSQ - Become Dangerously Good At Negotiation.txt
Armand Farrokh,7,4,30 Minutes to President's Club,Wzyq2u2-M3E,I Cold Called a Product I’ve Never Sold. Here’s What Happened.,https://www.youtube.com/watch?v=Wzyq2u2-M3E,1046.0,ok,19954,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\armand-farrokh\Wzyq2u2-M3E - I Cold Called a Product I’ve Never Sold. Here’s What Happened..txt
Armand Farrokh,7,5,30 Minutes to President's Club,XJ4-PiouLA8,Cold Email Elimination: AI Slop vs Shakespearean Sonnet,https://www.youtube.com/watch?v=XJ4-PiouLA8,947.0,ok,18663,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\armand-farrokh\XJ4-PiouLA8 - Cold Email Elimination AI Slop vs Shakespearean Sonnet.txt
Armand Farrokh,7,6,30 Minutes to President's Club,iPWRkfhp09U,How You Win The Game Of Productivity (Sales Leaders Must Watch),https://www.youtube.com/watch?v=iPWRkfhp09U,1537.0,ok,28939,cold-outreach-youtube-transcripts-2026\recent-7-per-prospect-apify\transcripts\armand-farrokh\iPWRkfhp09U - How You Win The Game Of Productivity (Sales Leaders Must Watch).txt
